=== D_cray_gpuaware : N=256 ranks=2048 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      43.42             40.74             45.89          50
8                      43.02             40.78             45.37          50
16                     43.33             41.02             45.44          50
32                     43.70             41.16             46.71          50
64                     43.75             41.15             46.70          50
128                    47.13             44.66             50.09          50
256                    75.48             72.30             78.15          50
512                    74.72             71.75             77.78          50
1024                   77.12             73.97             81.35          50
2048                   80.66             76.61             84.49          50
4096                   84.30             81.13             89.49          50
8192                  144.18            139.41            149.92          50
16384                 149.99            145.03            156.14          50
32768                 165.10            159.28            171.58          50
65536                 193.37            187.72            200.28          50
131072                370.69            364.80            378.68          50
262144                392.77            387.90            400.26          50
524288                429.56            424.29            439.41          50
1048576               470.25            461.45            483.24          50
2097152               556.87            549.05            568.67          50
4194304               729.98            720.39            775.45          50
8388608              1362.52           1340.26           1476.12          50
16777216             4735.18           4705.14           4801.26          50
33554432            11126.54          11079.61          11216.69          50
67108864            15512.78          15452.61          15633.83          50
134217728           18692.24          18676.91          18722.73          50
268435456           82919.36          82891.42          83160.12          50
536870912           87426.02          87415.63          87477.11          50
1073741824         192731.44         192710.75         192823.32          50
