=== C_mpich_rccl : N=256 ranks=2048 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     147.37            101.89            161.86          50
8                     136.07             90.74            149.95          50
16                    123.31             78.69            136.35          50
32                    123.82             78.96            137.22          50
64                    137.25             86.91            151.80          50
128                   210.01            127.39            232.45          50
256                   214.61            130.21            237.71          50
512                   221.71            134.31            245.83          50
1024                  231.73            139.39            256.98          50
2048                  254.23            152.41            281.89          50
4096                  259.86            160.01            285.47          50
8192                  261.03            162.18            288.99          50
16384                 261.08            161.16            285.39          50
32768                 277.85            260.62            292.06          50
65536                 325.91            308.43            339.67          50
131072                423.59            406.86            436.56          50
262144                606.57            587.02            620.45          50
524288                647.39            623.27            666.95          50
1048576               823.69            799.14            900.25          50
2097152               922.99            868.31            991.05          50
4194304              1626.91           1543.93           1694.56          50
8388608              2777.38           2657.55           2874.40          50
16777216             4059.20           3893.87           4173.60          50
33554432             5881.09           5696.97           6020.05          50
67108864             7801.95           7499.65           7940.15          50
134217728           11238.81          10679.96          11532.98          50
268435456           16033.11          15498.92          16257.76          50
536870912           24122.23          23320.33          24408.27          50
1073741824          38482.09          37226.93          39347.39          50
