=== A_mpich_host : N=4 ranks=32 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      31.24             27.69             34.68          50
8                      30.95             26.42             34.45          50
16                     31.05             26.42             35.11          50
32                     31.06             27.11             34.67          50
64                     31.61             27.40             35.42          50
128                    55.10             51.51             58.29          50
256                    54.95             51.64             58.07          50
512                    55.95             52.25             59.27          50
1024                   56.38             53.37             59.82          50
2048                   57.59             54.70             61.06          50
4096                   64.12             60.92             67.91          50
8192                   70.17             66.01             74.76          50
16384                  79.21             76.25             82.90          50
32768                  93.40             89.56             97.81          50
65536                 117.30            113.70            122.14          50
131072                154.95            149.16            161.64          50
262144                243.88            234.52            252.09          50
524288                429.09            408.29            456.58          50
1048576               761.51            684.22            806.28          50
2097152              1403.92           1276.57           1478.11          50
4194304              2935.58           2784.88           3166.76          50
8388608              5978.39           5558.04           6436.22          50
16777216            10104.56           9946.52          10369.98          50
33554432            32518.41          31950.20          33267.77          50
