=== C_mpich_rccl : N=2 ranks=16 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      56.39             48.69             62.63          50
8                      50.74             43.28             57.03          50
16                     38.96             31.99             45.12          50
32                     38.90             31.82             45.09          50
64                     40.35             32.83             47.07          50
128                    43.99             35.50             51.62          50
256                    45.06             36.05             53.27          50
512                    46.46             36.99             55.22          50
1024                   48.69             38.97             57.57          50
2048                   51.88             41.36             61.38          50
4096                   55.52             48.00             62.62          50
8192                   54.72             47.31             61.68          50
16384                  55.26             48.44             62.22          50
32768                  62.27             60.07             64.69          50
65536                  68.37             65.87             70.63          50
131072                 80.63             78.34             83.03          50
262144                105.06            102.51            107.30          50
524288                147.87            144.68            151.81          50
1048576               164.82            161.96            168.16          50
2097152               193.05            190.37            196.61          50
4194304               249.70            246.97            253.71          50
8388608               358.43            354.02            364.66          50
16777216              535.02            529.87            541.10          50
33554432              882.67            875.58            891.94          50
67108864             1519.72           1505.95           1537.20          50
134217728            2763.70           2737.60           2787.06          50
268435456            5173.84           5123.92           5210.54          50
536870912            9999.47           9911.57          10054.47          50
1073741824          19176.57          19031.41          19272.56          50
