=== D_cray_gpuaware : N=4 ranks=32 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      12.44             10.96             13.30          50
8                      12.57             11.53             13.41          50
16                     12.21             11.05             13.02          50
32                     12.30             11.75             13.13          50
64                     12.56             11.59             13.42          50
128                    13.08             11.55             14.53          50
256                    26.35             24.06             28.42          50
512                    24.95             21.83             27.00          50
1024                   26.35             22.59             29.90          50
2048                   28.74             25.73             30.94          50
4096                   45.01             41.05             48.95          50
8192                   73.63             69.27             77.66          50
16384                  78.25             73.75             82.35          50
32768                  88.45             84.12             91.82          50
65536                 110.46            106.31            115.13          50
131072                184.15            179.51            188.56          50
262144                196.69            191.68            201.18          50
524288                226.02            218.21            233.00          50
1048576               265.57            258.72            271.70          50
2097152               325.25            317.91            331.44          50
4194304               447.02            439.41            453.53          50
8388608               702.53            694.67            709.33          50
16777216             1413.13           1405.43           1419.94          50
33554432             2830.46           2822.62           2837.59          50
67108864             5693.19           5685.16           5700.43          50
134217728           11507.34          11499.85          11514.35          50
268435456           23369.96          23362.50          23376.67          50
536870912           48405.64          48398.28          48412.81          50
1073741824          94484.84          94477.39          94492.01          50
