=== A_mpich_host : N=8 ranks=64 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      37.41             32.57             42.88          50
8                      37.39             32.34             42.03          50
16                     37.02             32.53             42.51          50
32                     37.18             31.57             42.11          50
64                     37.48             32.93             41.53          50
128                    38.47             33.73             43.32          50
256                    66.72             62.46             70.91          50
512                    67.20             63.65             70.80          50
1024                   67.95             64.42             71.33          50
2048                   68.70             64.71             72.62          50
4096                   75.51             72.48             79.02          50
8192                   82.83             78.78             86.70          50
16384                  96.18             92.47            100.87          50
32768                 111.44            107.31            118.53          50
65536                 133.21            126.91            144.92          50
131072                172.96            166.10            188.53          50
262144                257.95            244.47            282.24          50
524288                439.92            405.72            481.31          50
1048576               803.23            746.68            864.89          50
2097152              1478.73           1363.72           1558.52          50
4194304              3217.79           3003.61           3386.80          50
8388608              6388.84           5964.85           6714.36          50
16777216            10517.16          10306.43          10710.12          50
33554432            33249.93          32736.44          33751.31          50
