=== D_cray_gpuaware : N=128 ranks=1024 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      38.68             35.34             41.16          50
8                      38.48             36.18             41.34          50
16                     38.27             35.62             40.93          50
32                     38.67             36.13             40.91          50
64                     38.82             36.21             41.20          50
128                    40.77             36.65             45.58          50
256                    66.81             64.08             69.40          50
512                    65.74             62.98             68.42          50
1024                   68.34             64.56             72.79          50
2048                   71.61             68.74             74.80          50
4096                   98.02             94.36            103.21          50
8192                  131.34            126.58            137.50          50
16384                 140.60            135.82            147.60          50
32768                 155.68            150.92            163.34          50
65536                 192.83            187.20            198.67          50
131072                348.73            344.29            355.47          50
262144                364.39            360.55            370.18          50
524288                397.52            391.87            406.09          50
1048576               438.43            430.73            448.45          50
2097152               517.74            509.44            526.72          50
4194304               665.06            656.88            674.51          50
8388608               960.80            948.74            982.43          50
16777216             3024.54           3010.03           3069.24          50
33554432             9707.73           9692.61           9748.22          50
67108864            17290.01          17236.18          17359.08          50
134217728           17548.84          17533.10          17570.03          50
268435456           54860.69          54830.86          55058.37          50
536870912           68507.37          68495.85          68521.41          50
1073741824         139055.90         139042.22         139072.40          50
