=== C_mpich_rccl : N=2048 ranks=16384 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     267.58            165.87            295.32          50
8                     265.06            160.38            293.72          50
16                    300.99            191.81            329.86          50
32                    256.95            145.58            284.90          50
64                    273.49            160.52            299.68          50
128                   352.65            256.81            391.90          50
256                   330.09            234.36            370.58          50
512                   324.92            224.51            364.83          50
1024                  321.94            214.52            361.15          50
2048                  342.55            220.51            383.74          50
4096                  397.68            264.28            444.35          50
8192                  394.27            269.65            455.05          50
16384                 415.52            304.26            473.19          50
32768                 426.61            331.93            479.21          50
65536                 500.80            405.91            548.03          50
131072                635.47            536.02            680.65          50
262144                852.45            767.22            891.41          50
524288                913.04            829.45           1001.95          50
1048576              1150.60           1085.60           1179.28          50
2097152              1723.67           1615.04           1755.78          50
4194304              3021.80           2900.64           3088.95          50
8388608              3597.76           3441.67           3730.72          50
16777216             4672.67           4382.35           4842.40          50
33554432             7326.98           7015.33           7619.64          50
67108864            10124.91           9404.54          10482.12          50
134217728           16224.38          15570.11          16614.07          50
268435456           20469.18          19482.22          20952.01          50
536870912           34659.37          33871.65          61076.18          50
1073741824          46164.98          44731.85          46802.35          50
