=== A_mpich_host : N=8 ranks=64 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      32.17             28.27             36.48          50
8                      32.47             28.27             36.63          50
16                     32.07             27.94             36.25          50
32                     32.16             27.61             36.23          50
64                     32.60             28.42             36.66          50
128                    33.67             28.68             38.66          50
256                    57.24             52.89             61.25          50
512                    57.47             53.05             60.99          50
1024                   58.07             53.41             62.02          50
2048                   59.26             55.16             63.13          50
4096                   63.47             59.89             68.27          50
8192                   68.44             64.96             72.77          50
16384                  78.82             75.10             83.33          50
32768                  92.94             88.81             97.94          50
65536                 118.10            112.64            123.60          50
131072                162.39            152.26            171.36          50
262144                255.01            243.50            265.56          50
524288                432.06            398.46            448.54          50
1048576               788.31            734.65            845.48          50
2097152              1492.08           1402.67           1586.07          50
4194304              3115.33           2974.54           3433.64          50
8388608              6350.02           5803.75           6833.83          50
16777216            10823.20          10668.62          11243.50          50
33554432            33758.36          32837.71          34294.37          50
