=== D_blk64 sweep : N=32 ranks=256 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      29.59             26.49             58.25          20
8                      28.88             26.42             31.31          20
16                     29.83             27.64             31.68          20
32                     28.85             26.66             30.79          20
64                     29.04             26.63             31.66          20
128                    30.76             28.04             34.09          20
256                    52.06             48.71             54.97          20
512                    51.80             48.81             54.00          20
1024                   51.96             48.63             56.05          20
2048                   58.65             52.74             62.30          20
4096                   79.85             75.61             83.01          20
8192                  112.87            105.73            117.43          20
16384                 120.42            112.81            124.84          20
32768                 136.90            130.71            141.43          20
65536                 167.87            160.27            173.80          20
131072                294.76            290.57            299.28          20
262144                308.45            302.80            313.57          20
524288                341.24            333.51            348.13          20
1048576               381.90            368.10            392.55          20
2097152               459.83            451.30            467.10          20
4194304               600.61            590.70            609.79          20
8388608               890.95            873.26            904.25          20
16777216             1487.43           1462.90           1511.88          20
33554432             2684.63           2651.81           2730.62          20
67108864             5103.98           5070.96           5152.34          20
134217728           10281.52          10256.07          10326.78          20
268435456           20632.07          20606.86          20665.74          20
536870912           41297.75          41273.13          41332.14          20
1073741824          83287.43          83260.35          83320.20          20
2147483648         175915.99         175859.55         175959.92          20
4294967296         332271.18         332238.91         332317.03          20
