=== D_kernel0 sweep : N=4 ranks=32 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      10.41              9.85             10.94          20
8                      10.33             10.00             10.88          20
16                     10.28              9.78             10.85          20
32                      9.98              9.49             10.42          20
64                     10.26              9.59             11.10          20
128                    11.44             10.70             12.14          20
256                    23.89             22.21             25.65          20
512                    23.72             22.70             24.91          20
1024                   23.15             20.97             26.31          20
2048                   29.57             25.42             32.35          20
4096                   41.32             40.37             42.65          20
8192                   67.12             65.60             69.02          20
16384                  71.56             70.59             72.86          20
32768                  81.93             79.95             83.26          20
65536                 102.35            100.54            104.34          20
131072                144.87            142.63            147.70          20
262144                231.72            226.07            235.89          20
524288                410.56            392.28            418.46          20
1048576               784.24            771.31            795.46          20
2097152              1551.43           1544.08           1560.75          20
4194304              3017.21           3008.19           3025.30          20
8388608              5956.81           5944.07           5968.24          20
16777216            11851.64          11842.22          11859.21          20
33554432            23606.15          23597.33          23612.95          20
67108864            47818.10          47806.39          47826.78          20
134217728           95137.91          95130.64          95145.29          20
268435456          188955.82         188945.74         188964.08          20
536870912          376441.75         376432.46         376451.30          20
1073741824         753236.64         753226.61         753242.70          20
2147483648        1503835.01        1503823.32        1503841.28          20
4294967296        3009257.06        3009249.84        3009262.12          20
