=== blk4G : -m 4194304:4294967296 MPICH_GPU_ALLREDUCE_BLK_SIZE=4294967296 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4194304               816.42            803.03            833.04          20
8388608              1134.73           1118.12           1170.82          20
16777216             1744.91           1701.07           1787.60          20
33554432             3033.70           2987.06           3074.05          20
67108864             5451.01           5405.09           5600.13          20
134217728           10556.18          10479.56          10700.66          20
268435456           20912.79          20829.68          21163.37          20
536870912           40964.44          40810.61          41482.62          20
1073741824          81237.52          80896.15          82360.17          20
2147483648         161371.29         160897.22         163310.97          20
4294967296         322737.38         321248.65         325915.55          20
