=== blk64M : -m 4194304:4294967296 MPICH_GPU_ALLREDUCE_BLK_SIZE=67108864 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4194304               883.14            839.86            923.59          20
8388608              1113.58           1098.94           1153.41          20
16777216             1800.35           1783.06           1833.78          20
33554432             2964.40           2932.13           3000.63          20
67108864             5451.01           5401.17           5543.41          20
134217728           10995.53          10947.06          11069.55          20
268435456           22169.18          22126.01          22232.56          20
536870912           57544.70          57372.50          57738.23          20
1073741824          94508.12          94463.97          94627.24          20
2147483648         179559.82         179516.84         179625.17          20
4294967296         428143.14         428084.22         428747.74          20
