=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  347.03            331.62            359.63          30
2048                  344.67            328.19            356.88          30
4096                  353.44            329.40            374.47          30
8192                  360.93            335.96            381.97          30
16384                 352.05            334.59            369.09          30
32768                 333.28            320.70            346.81          30
65536                 341.95            335.02            353.06          30
131072                356.79            349.13            367.37          30
262144                415.59            408.52            424.79          30
524288                543.14            533.08            550.62          30
1048576               757.63            749.75            763.18          30
2097152              1021.49           1014.25           1029.07          30
4194304              1477.94           1472.22           1485.13          30
8388608              2642.00           2631.67           2652.13          30
16777216             7843.64           7836.50           7848.32          30
33554432            31607.05          31491.09          31709.51          30
67108864            67657.70          67479.05          67938.72          30
134217728          128218.43         127763.26         128601.80          30
268435456          245046.20         244050.58         245945.58          30
