=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                   64.91             52.37             75.39          30
2048                   66.26             54.00             76.56          30
4096                   56.95             45.89             65.23          30
8192                   60.84             49.43             70.51          30
16384                  54.76             46.19             62.19          30
32768                  64.34             60.15             68.42          30
65536                  70.13             66.32             73.95          30
131072                 82.12             78.33             85.85          30
262144                107.22            103.53            110.45          30
524288                149.02            145.24            152.48          30
1048576               166.00            162.07            169.00          30
2097152               196.01            189.95            199.64          30
4194304               260.11            250.26            268.27          30
8388608               360.19            355.34            365.14          30
16777216              536.61            529.58            543.81          30
33554432              883.81            875.54            891.78          30
67108864             1520.05           1503.42           1537.53          30
134217728            2756.62           2741.60           2778.08          30
268435456            5166.49           5136.50           5206.44          30
