=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  507.82            461.08            582.58          30
2048                  517.23            469.38            594.30          30
4096                  530.91            486.78            609.83          30
8192                  951.63            924.48            993.04          30
16384                 953.13            919.45            998.10          30
32768                 960.10            928.27           1010.37          30
65536                 953.11            911.64           1014.31          30
131072                972.82            936.65           1030.30          30
262144               1039.84           1023.72           1054.66          30
524288               1216.72           1199.21           1237.79          30
1048576              1498.41           1483.92           1515.47          30
2097152              1866.86           1847.64           1891.35          30
4194304              2589.48           2567.43           2620.45          30
8388608              3923.15           3869.57           3988.95          30
16777216            10624.96          10503.19          10819.48          30
33554432            35350.07          35119.47          35617.93          30
67108864            76113.13          75695.51          76759.97          30
134217728          148722.96         148080.07         149626.35          30
268435456          286165.18         283951.50         293918.70          30
