=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                   65.29             53.70             75.43          30
2048                   67.00             55.49             77.45          30
4096                   59.02             50.02             67.61          30
8192                   59.30             50.72             67.70          30
16384                  57.40             49.52             64.94          30
32768                  65.31             61.60             68.12          30
65536                  71.14             68.03             74.22          30
131072                 83.84             80.76             86.87          30
262144                108.27            104.25            111.07          30
524288                149.88            144.59            155.77          30
1048576               167.34            161.47            170.87          30
2097152               199.42            190.96            205.64          30
4194304               279.76            268.82            288.19          30
8388608               361.29            353.96            366.50          30
16777216              538.50            528.51            545.14          30
33554432              882.38            873.07            893.74          30
67108864             1514.77           1500.05           1532.38          30
134217728            2749.56           2725.45           2773.66          30
268435456            5151.12           5098.66           5189.49          30
