=== AUTO_json (RCCL >=64 KiB via csel) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      57.54             49.05             63.82          30
16                     57.13             48.92             63.28          30
32                     47.72             39.42             54.04          30
64                     40.68             32.23             47.21          30
128                    43.91             33.71             51.98          30
256                    44.84             34.84             53.33          30
512                    45.85             35.63             54.54          30
1024                   47.79             37.05             56.92          30
2048                   50.98             39.48             60.96          30
4096                   59.81             49.32             68.36          30
8192                   60.78             50.84             69.49          30
16384                  55.84             47.48             63.16          30
32768                  65.02             60.96             69.42          30
65536                  70.09             66.59             75.49          30
131072                 82.52             79.32             86.35          30
262144                106.80            103.58            110.33          30
524288                148.78            143.98            154.43          30
1048576               166.52            162.60            170.81          30
2097152               196.42            190.60            200.18          30
4194304               260.73            250.44            269.71          30
8388608               360.38            355.87            367.94          30
16777216              536.93            530.34            544.50          30
33554432              882.92            874.87            892.83          30
67108864             1518.98           1505.35           1536.54          30
134217728            2756.87           2736.37           2780.43          30
268435456            5163.65           5120.90           5195.99          30
