=== AUTO_hmem (stock tree + FI_HMEM GPU-direct RDMA) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     296.19            269.16            344.54          30
16                    292.07            264.00            339.78          30
32                    292.57            265.58            343.79          30
64                    292.28            264.38            342.45          30
128                   294.94            268.55            344.66          30
256                   369.58            337.65            453.19          30
512                   372.00            338.97            457.54          30
1024                  377.20            345.00            471.12          30
2048                  528.82            505.53            560.83          30
4096                  565.02            544.10            603.89          30
8192                  598.14            583.46            644.79          30
16384                 618.43            606.14            659.86          30
32768                 603.87            594.89            615.59          30
65536                 633.39            621.63            648.76          30
131072                863.76            803.59            920.48          30
262144               1128.40           1045.28           1263.11          30
524288               1305.33           1246.73           1357.27          30
1048576              1523.34           1453.41           1617.70          30
2097152              1847.05           1793.50           1893.80          30
4194304              2191.81           2147.84           2237.02          30
8388608              3032.06           2995.86           3068.05          30
16777216             8617.88           8589.73           8682.72          30
33554432            28507.87          28316.36          28673.92          30
67108864            61059.99          60761.88          61353.49          30
134217728          121255.62         120698.09         121946.97          30
268435456          225842.79         224862.82         227262.50          30
