=== AUTO_hybrid (ch4: alpha<=32K / beta->MPIR(>32K)->rccl) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      77.69             72.57             82.84          30
16                     77.52             72.83             82.83          30
32                     77.71             72.29             82.95          30
64                     78.32             70.86             84.64          30
128                    80.60             75.18             87.02          30
256                   123.62            117.20            138.64          30
512                   125.00            118.10            141.11          30
1024                  126.70            119.68            142.32          30
2048                  129.63            122.68            145.65          30
4096                  134.63            128.60            150.78          30
8192                  145.76            139.08            164.24          30
16384                 176.96            167.61            199.15          30
32768                 236.56            223.74            264.21          30
65536                 263.50            257.13            270.64          30
131072                324.90            317.84            330.78          30
262144                454.85            445.64            463.35          30
524288                506.19            499.20            513.16          30
1048576               614.12            604.89            622.94          30
2097152               492.50            470.03            514.17          30
4194304               810.10            772.07            893.74          30
8388608              1350.77           1262.21           1522.91          30
16777216             1743.11           1694.01           1855.13          30
33554432             2586.71           2476.63           2793.89          30
67108864             4714.49           4442.99           4995.16          30
134217728            4482.41           4310.90           4663.93          30
268435456           10344.82           9872.83          11055.30          30
