=== mpir_recexch ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     117.49            110.80            123.45         100
16                    115.84            109.15            121.74         100
32                    115.65            108.91            121.55         100
64                    115.63            108.83            121.77         100
128                   116.12            109.46            122.23         100
256                   116.63            110.15            122.47         100
512                   117.90            111.43            123.45         100
1024                  118.60            111.59            124.61         100
2048                  121.69            115.15            127.35         100
4096                  128.32            122.07            133.85         100
8192                  138.34            132.21            143.56         100
16384                 145.11            138.08            151.71         100
32768                 144.82            137.85            150.96         100
65536                 163.99            155.17            173.04         100
