=== mpir_recursive_doubling_hmem ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     118.43            111.83            124.47         100
16                    116.31            109.67            122.24         100
32                    116.13            109.44            122.11         100
64                    115.87            109.05            121.76         100
128                   116.61            110.06            122.40         100
256                   116.53            109.84            122.67         100
512                   117.59            111.20            123.58         100
1024                  118.85            112.63            124.32         100
2048                  121.76            115.47            127.27         100
4096                  128.48            122.53            133.69         100
8192                  138.60            133.29            143.30         100
16384                 145.05            138.82            151.48         100
32768                 144.87            139.45            149.85         100
65536                 171.67            167.80            176.63         100
