=== mpir_smp ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     128.19            124.96            131.34         100
16                    128.34            125.12            131.40         100
32                    128.45            125.26            131.50         100
64                    125.13            121.95            128.13         100
128                   125.13            122.01            128.08         100
256                   125.00            121.93            127.99         100
512                   126.19            123.00            129.27         100
1024                  127.15            123.97            130.17         100
2048                  130.50            127.21            133.61         100
4096                  219.56            216.18            222.56         100
8192                  224.24            220.77            227.16         100
16384                 300.35            296.27            304.93         100
32768                 316.87            313.40            320.69         100
65536                 327.22            321.88            332.51         100
