=== mpir_tree ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     243.92            222.60            262.57         100
16                    237.71            216.82            255.85         100
32                    236.10            215.54            253.97         100
64                    236.05            215.48            253.93         100
128                   236.96            216.33            254.86         100
256                   237.18            216.60            255.04         100
512                   239.30            218.62            257.28         100
1024                  241.05            220.39            259.15         100
2048                  246.68            225.94            264.95         100
4096                  257.79            236.69            276.37         100
8192                  277.27            255.79            296.56         100
16384                 288.89            267.10            308.07         100
32768                 289.20            268.96            306.50         100
65536                 323.86            302.89            341.52         100
