=== mpir_recexch_hmem ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     151.01            141.35            160.89         100
16                    148.82            138.35            159.39         100
32                    149.87            138.66            159.66         100
64                    149.82            138.72            159.75         100
128                   149.52            138.60            161.06         100
256                   169.85            156.30            183.73         100
512                   169.55            156.41            183.05         100
1024                  169.92            156.69            184.89         100
2048                  174.04            160.95            188.81         100
4096                  179.55            166.25            195.22         100
8192                  189.91            177.88            204.56         100
16384                 199.74            186.85            215.65         100
32768                 204.74            190.91            220.06         100
65536                 237.19            222.03            257.45         100
