=== mpir_recursive_doubling ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     159.61            155.37            163.88         100
16                    156.60            152.70            160.46         100
32                    156.58            152.45            160.61         100
64                    157.17            153.93            160.63         100
128                   158.13            154.51            161.18         100
256                   163.93            161.33            168.19         100
512                   165.27            163.10            169.00         100
1024                  167.07            162.78            179.18         100
2048                  168.62            165.21            172.08         100
4096                  175.64            173.13            180.66         100
8192                  188.71            185.61            192.01         100
16384                 201.12            198.19            206.02         100
32768                 200.96            195.85            207.30         100
65536                 240.76            233.92            252.05         100
