=== mpir_reduce_scatter_allgather ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     167.08            157.15            180.90         100
16                    165.02            154.73            177.77         100
32                    164.74            155.31            177.31         100
64                    312.45            307.35            319.73         100
128                   306.29            301.04            313.20         100
256                   307.34            302.29            313.94         100
512                   316.10            310.94            322.98         100
1024                  307.87            303.58            314.38         100
2048                  307.09            301.49            313.62         100
4096                  316.63            307.66            327.20         100
8192                  323.15            312.84            335.39         100
16384                 330.14            320.60            341.72         100
32768                 338.51            327.67            351.71         100
65536                 345.28            335.37            358.12         100
