=== mpir_smp_hmem ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     155.09            151.94            161.02         100
16                    169.09            164.97            174.29         100
32                    168.06            163.90            173.11         100
64                    164.98            160.73            169.75         100
128                   164.63            160.40            169.65         100
256                   165.73            162.10            171.41         100
512                   184.90            181.89            191.19         100
1024                  186.08            182.99            192.16         100
2048                  192.11            188.00            197.27         100
4096                  288.96            285.31            294.28         100
8192                  291.93            288.26            296.73         100
16384                 395.57            385.20            405.70         100
32768                 410.53            392.68            425.60         100
65536                 434.65            421.10            448.73         100
