=== rccl ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      53.43             45.72             59.47         100
16                     38.96             31.46             45.09         100
32                     39.21             31.60             45.43         100
64                     40.65             32.66             47.25         100
128                    43.86             34.96             51.43         100
256                    45.05             35.85             52.96         100
512                    46.49             36.86             54.82         100
1024                   48.57             38.47             57.61         100
2048                   51.63             40.88             61.62         100
4096                   54.88             47.59             61.73         100
8192                   53.83             46.63             60.66         100
16384                  55.45             48.36             62.04         100
32768                  62.92             60.36             64.89         100
65536                  68.66             66.34             70.56         100
