=== D_cray_gpuaware : N=1 ranks=8 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                       3.11              3.00              3.22          50
8                       2.56              2.53              2.57          50
16                      2.92              2.89              2.95          50
32                      2.58              2.55              2.60          50
64                      2.61              2.59              2.64          50
128                     2.84              2.81              2.88          50
256                    12.47             11.94             12.98          50
512                    11.00             10.46             11.51          50
1024                   12.16             11.22             14.07          50
2048                   13.05             11.85             13.87          50
4096                   20.57             20.32             21.07          50
8192                   42.70             41.84             43.73          50
16384                  47.32             46.44             48.47          50
32768                  56.73             55.90             57.56          50
65536                  76.50             75.73             77.43          50
131072                113.53            113.17            113.72          50
262144                121.03            120.48            121.44          50
524288                136.22            135.78            136.77          50
1048576               158.06            157.52            158.41          50
2097152               208.23            207.74            208.51          50
4194304               311.20            310.69            311.52          50
8388608               513.26            512.91            513.51          50
16777216             1029.35           1028.78           1029.67          50
33554432             2061.85           2061.47           2062.14          50
67108864             4127.72           4127.37           4128.10          50
134217728            8274.91           8274.57           8275.29          50
268435456           16602.91          16602.47          16603.34          50
536870912           33179.67          33179.41          33180.02          50
1073741824          66463.30          66463.09          66463.60          50
