=== A_mpich_host : N=4 ranks=32 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      28.61             22.29             33.99          50
8                      28.27             22.91             33.20          50
16                     27.70             22.71             32.44          50
32                     27.85             22.17             33.05          50
64                     28.62             22.52             34.18          50
128                    47.79             43.67             51.98          50
256                    48.28             44.15             52.30          50
512                    48.35             44.18             52.57          50
1024                   48.95             45.07             52.85          50
2048                   50.29             46.20             54.09          50
4096                   55.47             51.30             59.38          50
8192                   57.79             52.87             62.56          50
16384                  67.45             62.95             71.50          50
32768                  80.45             74.92             85.72          50
65536                 104.00             98.17            108.55          50
131072                145.61            138.94            155.17          50
262144                238.37            227.22            249.50          50
524288                411.97            398.03            433.27          50
1048576               781.76            745.17            836.13          50
2097152              1495.67           1409.39           1625.41          50
4194304              3048.30           2850.37           3310.20          50
8388608              6488.95           6061.16           6834.83          50
16777216            10719.17          10392.54          11519.87          50
33554432            33294.36          32399.29          33925.46          50
