=== C_mpich_rccl : N=64 ranks=512 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     125.35             87.09            138.72          50
8                     114.09             76.75            127.45          50
16                    102.44             65.70            115.33          50
32                    101.17             64.33            114.20          50
64                    116.46             77.82            130.16          50
128                   169.07            106.02            189.28          50
256                   173.25            107.95            194.23          50
512                   178.18            111.50            200.08          50
1024                  185.24            114.85            207.60          50
2048                  204.10            127.20            227.33          50
4096                  207.32            133.92            227.97          50
8192                  205.34            133.16            227.19          50
16384                 210.17            136.27            230.69          50
32768                 225.75            215.86            234.85          50
65536                 264.61            255.02            275.24          50
131072                330.69            321.55            340.75          50
262144                460.66            450.33            470.94          50
524288                517.86            505.25            530.88          50
1048576               622.79            605.67            640.58          50
2097152               536.04            507.50            572.26          50
4194304               760.09            719.58            868.07          50
8388608              1325.40           1211.52           1510.57          50
16777216             1600.36           1511.59           1748.94          50
33554432             3476.59           3336.28           3627.46          50
67108864             5391.53           5209.68           5510.29          50
134217728            6890.85           6468.42           7301.03          50
268435456           13016.01          12345.69          13413.32          50
536870912           20869.54          19686.43          21384.30          50
1073741824          36641.46          35123.92          38129.79          50
